Stn Id,Stn Name,CIMIS Region,Month Year,Total ETo (mm),qc,Total Precip (mm),qc,Avg Sol Rad (W/sq.m),qc,Avg Vap Pres (kPa),qc,Avg Max Air Temp (C),qc,Avg Min Air Temp (C),qc,Avg Air Temp (C),qc,Avg Max Rel Hum (%),qc,Avg Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Avg Dew Point (C),qc,Avg Wind Speed (m/s),qc,Avg Soil Temp (C),qc
6,Davis,Sacramento Valley,Nov 2022,56.43, ,37.80, ,117, ,0.8, ,17.0, ,3.0, ,9.4, ,87, ,40, ,63, ,2.5, ,2.2, ,10.6, 
6,Davis,Sacramento Valley,Dec 2022,20.06, ,176.00, ,63, ,0.9,K,11.3,K,3.4, ,7.1, ,97, ,72, ,88,K,5.1,K,2.1,K,8.7, 
6,Davis,Sacramento Valley,Jan 2023,45.44, ,247.40,K,94,K,0.9,K,13.3, ,4.6, ,9.0,K,92,K,58,K,76,K,4.5,K,3.3,K,9.4,K
6,Davis,Sacramento Valley,Feb 2023,54.04, ,65.10, ,132, ,0.7, ,14.3,K,2.2, ,8.0,K,89, ,49, ,70,K,2.5,K,2.7, ,8.3,K
6,Davis,Sacramento Valley,Mar 2023,70.78, ,187.30, ,166,K,0.9, ,14.5,K,5.0,K,9.6,K,92, ,55, ,74,K,5.0,K,2.8,K,10.3,K
6,Davis,Sacramento Valley,Apr 2023,146.13, ,4.40, ,278,K,1.0, ,22.7, ,7.2, ,14.8, ,87, ,34, ,58, ,6.4, ,2.4,K,13.7, 
6,Davis,Sacramento Valley,May 2023,158.51, ,12.40, ,287, ,1.3, ,24.8,K,9.9, ,17.0, ,94, ,44, ,66, ,10.5, ,2.3, ,16.6, 
6,Davis,Sacramento Valley,Jun 2023,186.92, ,0.00, ,319, ,1.4, ,28.6, ,11.6, ,19.8, ,90, ,38, ,60, ,11.6, ,2.4, ,18.1,K
6,Davis,Sacramento Valley,Jul 2023,211.62, ,0.10, ,328, ,1.6,K,34.0,K,13.4, ,23.6,K,91, ,30, ,54,K,13.5,K,2.1, ,21.2,K
6,Davis,Sacramento Valley,Aug 2023,186.81,K,122.70, ,281, ,1.6,K,33.5, ,14.7,K,24.0,K,91, ,32, ,55,L,14.2,L,2.3,K,21.9, 
6,Davis,Sacramento Valley,Sep 2023,130.82, ,9.70,K,229, ,1.4, ,28.9,K,12.2, ,20.3, ,93, ,36, ,60, ,12.2, ,2.1,K,20.7, 
6,Davis,Sacramento Valley,Oct 2023,100.86, ,0.00, ,168, ,1.2, ,26.2, ,9.6, ,17.7, ,89, ,33, ,56, ,8.5, ,2.1, ,16.8,K
6,Davis,Sacramento Valley,Nov 2023,61.65, ,21.90, ,117, ,0.9,K,19.7, ,5.7,K,12.5,K,86, ,41, ,62,K,5.1,K,2.3,K,12.4, 
6,Davis,Sacramento Valley,Dec 2023,30.65, ,87.30, ,77, ,1.0,K,15.8,K,4.9,K,10.0,K,94, ,62, ,80,K,6.7,K,1.8, ,10.3, 
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                