parent.pop,elevation.group,elev_m,cwd_dist,ppt_dist,tmn_dist,tmx_dist,ann_tmean_dist,mean_diurnal_range_dist,temp_seasonality_dist,temp_ann_range_dist,tmean_wettest_month_dist,tmean_driest_month_dist,ann_ppt_dist,ppt_seasonality_dist,ppt_warmest_month_dist,ppt_coldest_month_dist
BH,Low,511.4294422,19.06176190476191,7.472000000000008,0.7516984126984134,0.4799206349206351,0.6158095238095243,-0.27177777777777656,0.4390804837180795,2.6119999999999983,0.9626666666666654,4.0093333333333305,209.2840000000001,18.521828958588713,-6.337000000000001,60.41633333333337
CC,Low,313,21.269370370370368,-26.51818481481483,-1.6227777777777783,-0.8911481481481474,-1.2569629629629606,0.7316296296296283,-0.4210121856549369,0.6473333333333358,0.4444999999999997,-0.7900833333333352,-238.66366333333315,13.736662585436946,-0.9560000000000002,-67.17366333333331
CP2,High,2244.132886,-5.495222222222225,0.24550055555556582,2.995666666666667,3.583611111111111,3.289638888888886,0.5879444444444442,-1.4677656133748709,1.929666666666666,7.6963333333333335,7.805166666666665,236.94300333333342,-7.34554606915286,-6.888333333333334,-3.7286633333333157
CP3,High,2266.382201,11.85827777777778,3.0788894444444566,3.582555555555556,4.375055555555555,3.978805555555555,0.7925000000000004,-1.506231682299024,1.9749999999999979,8.388,8.439666666666664,253.9433366666667,-5.246434992506494,-7.721,8.384336666666627
DPR,Mid,1018.591893,39.28196666666666,-18.42726566666667,-2.1245111111111106,-1.8113222222222198,-1.9679166666666674,0.3131888888888863,-0.6872857223211177,1.166999999999998,2.559166666666666,1.0610305555555541,-262.76265666666654,-7.968600076610542,-0.101,-122.06932333333339
FR,Mid,787,-20.028999999999996,20.34329629629631,-0.4325925925925924,-2.8046296296296305,-1.618611111111111,-2.372037037037037,-0.7903457692243308,-1.4206666666666692,2.9211666666666662,2.068333333333335,183.08966666666674,-8.20788094576001,-1.4276666666666666,25.510999999999996
IH,Low,454.1298385,29.181266666666666,-21.767199666666656,-1.1345444444444448,-1.122655555555557,-1.1286000000000023,0.011888888888888616,-0.965034049909792,-0.09133333333333837,1.4881666666666664,-0.13363888888889264,-296.1619966666667,5.267351621723151,-0.072,-81.19866333333334
LV1,High,2593.416641,4.118866666666662,4.8548013333333415,4.5846888888888895,3.694177777777778,4.139433333333333,-0.8905111111111115,-0.11071153469084649,4.441999999999997,6.869833333333333,10.841333333333331,338.23400666666674,-13.324574332576404,-13.7735,18.496340000000004
LV3,High,2353.550747,16.059199999999997,5.757333333333349,4.627755555555556,3.6817111111111096,4.154733333333333,-0.9460444444444445,-0.09305475671076469,4.4339999999999975,6.856833333333333,10.877833333333331,342.7466666666667,-13.152655186044896,-13.620666666666668,21.634666666666675
LVTR1,High,2741.38982,-4.103066666666663,1.7393340000000137,4.908488888888889,3.818311111111111,4.3634,-1.0901777777777788,-0.0685653188359634,4.371999999999996,6.9944999999999995,11.118916666666664,322.6566700000001,-12.87438855756777,-15.354333333333331,9.02367000000001
SC,Low,421.5178299,26.881571428571426,-15.815714285714265,0.6169365079365079,1.2284444444444418,0.9226904761904766,0.6115079365079357,0.8299684754435788,4.332666666666665,0.6343333333333323,4.627833333333335,46.270000000000095,22.91872500915987,-8.155666666666665,10.016333333333364
SQ1,Mid,1921.036585,-20.436041666666682,33.33358375000001,0.35726388888888927,1.151361111111111,0.7543124999999993,0.7940972222222236,-0.5134574488911854,2.140666666666661,5.009666666666666,7.783749999999998,345.1586700000001,-17.869580411715177,-5.789666666666666,73.43666999999999
SQ2,Mid,1934.45122,0.842809523809521,31.787666666666674,0.19112698412698492,0.8480158730158713,0.5195714285714281,0.6568888888888864,-0.8277648811114471,2.1596666666666664,4.613166666666666,8.141916666666663,379.49366666666674,-23.486106535633766,-5.26,70.51433333333333
SQ3,High,2373.170732,-8.186904761904756,27.680571904761912,2.2455555555555557,3.004111111111108,2.624833333333335,0.7585555555555548,-0.6447517487289751,2.572999999999997,6.5375,10.391499999999997,350.7440033333334,-22.18572425788149,-6.452,55.18133666666665
TM2,Low,379.1526973,38.51054166666667,-53.50329124999999,-0.17965277777777722,1.3005694444444416,0.5604583333333348,1.4802222222222206,0.9258003735155622,4.985333333333333,0.910166666666667,5.231166666666663,-349.5363299999999,25.54067748517231,-15.376,-105.06799666666666
WL1,Mid,1613.837245,1.4270833333333286,10.381959166666675,0.05022222222222261,-0.40530555555555736,-0.1775416666666647,-0.4555277777777764,-0.49090839230957073,1.3163333333333327,4.359999999999999,4.822222222222223,161.5456733333334,-11.021441338046472,-1.8966666666666667,-0.45499333333333425
WL2,High,2020.115818,5.589285714285708,9.75371523809524,1.3604603174603174,2.0176349206349187,1.689047619047619,0.6571746031746031,-0.9105997109107875,2.2029999999999994,6.476666666666667,6.919999999999998,225.25600666666674,-15.199226463513881,-4.592666666666666,-1.3296599999999899
WR,Mid,1158,16.57322222222222,-14.484776296296289,-2.066888888888889,-1.4841111111111118,-1.7754999999999992,0.5827777777777765,-0.6016452444779876,1.9213333333333331,2.104166666666666,2.24016666666666,-130.36298666666664,-10.617800262851361,-0.385,-109.84965333333332
WV,Mid,748.8570558,14.14611111111111,17.308704074074086,0.212518518518519,-2.145703703703706,-0.966592592592594,-2.3582222222222207,-0.8936745796876,-1.3596666666666692,3.4928333333333335,3.1966666666666654,155.77833666666675,-9.35297635850695,-4.796,17.912336666666675
YO11,High,2872.295032,-6.863933333333335,47.15013333333334,5.0026222222222225,4.4964444444444425,4.749533333333334,-0.5061777777777792,-0.07000380413240137,4.569666666666663,6.369166666666667,12.989499999999998,549.7106666666667,21.087567501443957,-13.918333333333331,169.81
YO4,High,2157.57391,3.1141904761904726,21.192333333333345,1.2784603174603175,2.1813015873015864,1.7298809523809524,0.9028412698412716,-0.6594066502290659,2.8986666666666636,6.548333333333334,7.9014166666666625,305.3263333333334,-22.110621311527424,-3.474666666666667,31.68433333333337
YO7,High,2469.978665,4.731611111111107,7.983111666666673,4.843111111111112,4.513499999999999,4.678305555555555,-0.3296111111111113,-1.1164257638251875,1.543333333333333,9.189166666666667,10.725666666666664,283.36867000000007,-12.157584509631917,-6.392666666666667,11.561003333333332
YO8,High,2590.97836,-11.230777777777774,8.342445000000012,5.341777777777778,4.965111111111112,5.153444444444444,-0.3766666666666669,-1.145517373899005,1.4363333333333301,9.7195,11.052499999999997,285.52467000000007,-11.167273144509991,-7.24,13.415003333333374
